,"MSE","MI"
"Cocaine174",0.746,0.405
"Cocaine175",0.777,0.401
"Cocaine178",0.758,0.372
"Control181",0.76,0.456
"Control182",0.974,0.405
"Control239",0.935,0.537
"Control258",0.609,0.423
"Fear187",0.609,0.312
"Fear197",0.595,0.333
"Fear199",0.768,0.507
